Land,Offizielle Sprache,Minderheitensprache,Landessprache,Weit verbreitet,
Abchasien [a],Abchasisch Russisch,georgisch,Abchasien,,
Afghanistan [1],Paschtu Dari,,Paschtu,,
Albanien [2],albanisch,Griechisch-mazedonischer Aromanianer,,Italienisch,
Algerien [3],Arabisch Tamazight,,Arabisch Tamazight,Französisch,
Andorra,Katalanisch [4],Spanisch Französisch Portugiesisch,,,
Angola [5],Portugiesisch,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela [Zitieren erforderlich],,
Antigua und Barbuda,Englisch (de facto) [6],,,,
Argentinien,Spanisch (de facto),,,,
Armenien,Armenisch,,Armenisch (Staatssprache) [9],,
Artsakh [a],Armenisch,,,,
Australien,"Keine (Englisch ist de facto, aber nicht de jure)",,,,
Österreich [10] [11],Deutsche,Slowenisch Tschechisch Ungarisch Slowakisch Roma Serbisch,Deutsch (Landessprache),,
Aserbaidschan,Aserbaidschanisch,,Aserbaidschanisch (Staatssprache) [12],,
Bahamas,Englisch,,,,
Bahrain,Arabisch,,,,
Bangladesch,Bengali,,Bengali,,
Barbados,Englisch,,,,
Weißrussland,Weißrussisches Russisch,,,,
Belgien,Niederländisch Französisch Deutsch,,,,
Belize,Englisch,,,Kriol (Verkehrssprache),
Benin,Französisch,,,,
Bhutan,Dzongkha,,,,
Bolivien [14],Kastilisch 37 weitere Sprachen,,,,
Bosnien und Herzegowina,Bosnisch (de facto) [15] Kroatisch (de facto) [15] Serbisch (de facto) [15],,,,
Botswana,Englisch Tswana,,Tswana,,
Brasilien,Portugiesisch [16],,Portugiesisch,,
Brunei,Malaiisches Englisch,,,,
Bulgarien,bulgarisch,,,,
Burkina Faso,Französisch,,Fula Jula Mehr,,
Burundi [44] [45],Französisch Kirundi Englisch,,Kirundi,Swahili,
Kambodscha,Khmer,,,,
Kamerun,Englisch Französisch,,,,
Kanada,Englisch (Federal) Französisch (Federal),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun Nordsklave Südsklave TÅ € ± Ì¨chÇ «,,,
Kap Verde,Portugiesisch,,Kapverdisches Kreol,,
Zentralafrikanische Republik,Französisch,Sango,,,
Tschad,Arabisch Französisch,,,,
Chile,Spanisch (de facto),,,,
China,Mandarin,,,Kantonesisch (De facto in Hongkong und Macau),
Weihnachtsinsel,"Englisch, Mandarin, Malaiisch",,,,
Kokosinseln (Keelinginseln),"Englisch, Cocos Malay",,,malaiisch,
Kolumbien,Spanisch,,,,
Komoren,Arabisch Komorisch Französisch,,,,
Demokratische Republik Kongo,Französisch,Lingala Kikongo,Swahili Tshiluba,,
Republik Kongo,Französisch,Lingala Munukutuba,,,
Cookinseln,"Englisch, Cookinseln MÄ ori",,,,
Costa Rica,Spanisch,Indigene Sprachen [48] Limonese Creole [49],,,
Kroatien,kroatisch,,Italienisch (Kreis Istrien) Roma (nicht territorial) Slowenisch (nicht territorial),,
Kuba,Spanisch,,,,
Zypern,Griechisch [50] Türkisch [50],,Armenisch [51] Zypriotisches Arabisch [51],Englisch,
Tschechien,Tschechisch [c] Slowakisch [c],,Weißrussisch [d] Bulgarisch [d] Kroatisch [d] Deutsch [d] Griechisch [d] Ungarisch [d] Polnisch [d] Roma [d] Russisch [d] Rusyn [d] Serbisch [d] Ukrainisch [d] Vietnamesisch [ d],,
Dänemark,dänisch,Deutsch (in Südjütland),,,
Dschibuti,Arabisch Französisch,,,,
Dominica,Englisch,,,,
Dominikanische Republik,Spanisch,,,,
Osttimor,Portugiesisch [52] Tetum [52],,,,
Ecuador [53],Spanisch Quechua (Amtssprache der interkulturellen Beziehung),Kichwa (offizielle Minderheitensprache) Shuar (offizielle Minderheitensprache),,,
Ägypten,Arabisch,koptisch,Ägyptische Sprache,Ägyptisches Arabisch,
El Salvador,Spanisch,,,,
Äquatorialguinea,Französisch Portugiesisch Spanisch,,,,
Eritrea,Tigrinya,,,Arabisch Italienisch,
Estland,estnisch,,,,
Eswatini,Englisch Swazi,,,,
Äthiopien,Afar Amharic Oromo Somali Tigrinya Englisch [54],,Afar Amharic Benshangul Gumuz Harari Kunama Oromo Sidamo Somali Tigrinya Englisch,,
Fidschi,Englisch Fidschian Fidschi Hindi,,,,
Finnland,Finnisch Schwedisch,"Sami (in Enontekiö, Inari, Sodankylä, Utsjoki)",Finnisch Schwedisch,,
Frankreich,Französisch [55] Korsische Sprache (auf Korsika),,,,
Gabun,Französisch,,,,
Gambia,Englisch,,,,
Georgia,georgisch,,,,
Deutschland,Deutsch [56],Dänische niedersorbische nordfriesische Roma [57] Obersorbische,,,
Ghana,Englisch,,,,
Griechenland,griechisch,,,,
Grenada,Englisch,,,,
Guatemala,Spanisch,,,,
Guinea,Französisch,,,Fula Maninka Susu,
Guinea-Bissau,Portugiesisch,,,,
Guyana,Englisch,,,Guyanese Kreolisch,
Haiti,Französisches haitianisches Kreol,,,,
Honduras,Spanisch,,,,
Ungarn,Ungarisch [58],Kroatisch [59] Deutsch [59] Rumänisch [59] Serbisch [59] Slowakisch [59] Slowenisch [59],,,
Island,Isländisch [Zitieren erforderlich] Isländische Gebärdensprache [Zitieren erforderlich],,,,
Indien,Hindi Englisch,(32 Sprachen),,"Hindi 
Englisch
 Bengali
 Tamil
 Telugu
 Malayalam 
Kannada",
Indonesien [Zitieren erforderlich],Indonesisch,,,Indonesische Gebärdensprachen Javanisch Sundanesisch Madurese Batak Sprachen Chinesisch Minang Aceh Balinesisch Buginese Banjarese Englisch (700+ andere Sprachen),
Iran,persisch,,persisch,persisch,
Irak,Arabisch,,,,
Irland [60],Englisch Irisch,,irisch,,
Israel,hebräisch,,,Russisch englisch,
Italien,Italienisch,Ladin Slowenisch,,,
Elfenbeinküste,Französisch,,,,
Jamaika,Englisch,,Jamaikanischer Patois,,
Japan,japanisch,,japanisch,,
Jordanien,Arabisch,,,,
Kasachstan,Kasachischer Russe,,Kasachisch,,
Kenia,Englisch,,Swahili,,
Kiribati,Englisch,,Kiribati,,
Nord Korea,Koreanisch,,,,
Südkorea,Koreanisch Koreanische Gebärdensprache,,,,
Kosovo [a],Albanisch Serbisch,,Albanisch (bundesweit) Serbisch (Nordkosovo),,
Kuwait,Standard Arabisch,,Kuwaitische Gebärdensprache Kuwaitisches Arabisch Kuwaitisches Persisch,,
Kirgisistan,Kirgisisches Russisch,,Kirgisisch,,
Laos,Lao,,,,
Lettland,Lettisch [61] [62],,,,
Libanon,Arabisch,Armenisch,Arabisch Englisch Französisch,Arabisch Englisch Französisch,
Lesotho,Sotho Englisch,,Sotho,,
Liberia,Englisch,,,,
Libyen,Arabisch,,,,
Liechtenstein,Deutsche,,,,
Litauen,litauisch,,,,
Luxemburg,Französisch Deutsch Luxemburgisch,,Luxemburgisch,,
Madagaskar,Französisch Madagassisch,,Madagassisch,,
Malawi,Englisch Chichewa,,Chichewa,,
Malaysia,Malaiisch [e] Englisch (zweite Sprache),,malaysisch,Mandarin Chinesisch Kantonesisch Tamil,
Malediven,Dhivehi,,,,
Mali,Französisch,,,,
Malta,Maltesisches Englisch,,maltesisch,,
Souveräner Militärorden von Malta [a],Italienisch,,,,
Marshallinseln,Englisch,,Marshallese,,
Mauretanien,Arabisch,,Arabisch Fula Soninke Wolof,Französisch,
Mauritius,Englisch,,Französisch,,
Mexiko,Spanisch (de facto),,,,
Die Verbündeten Staaten von Micronesia,Woleaian,,,,
Moldawien,rumänisch,,,,
Monaco [64],Französisch,,,Monégasque,
Mongolei,mongolisch,,,,
Montenegro,Albanisch (in Ulcinj) Kroatisch (in Tivat) Serbisch (in Herceg Novi),,Montenegrinisch,serbisch,
Marokko,Arabisch Tamazight,,Arabisch,Darija (marokkanisches Arabisch),
Mosambik,Portugiesisch,,,,
Myanmar (Burma),birmanisch,,,,
Namibia [65],Englisch,,Afrikaans,,
Nauru,Englisch Nauruan,,,,
Nepal,Nepali [66],,"alle Sprachen, die in Nepal als Muttersprache gesprochen werden [67]",,
Niederlande,Niederländisch (de facto),,,,
Neuseeland,Englische Maori Neuseeland Gebärdensprache,,,,
Nicaragua,Spanisch,,,,
Niger,Französisch,,Arabisch Hausa Fulfulde Gulmancema Kanuri Zarma Tamazight,,
Nigeria,Englisch,,Hausa Yoruba Igbo,,
Niue,Englisch Niuean,,,,
Norfolkinsel,Englisch Norfuk [68],,,,
Nordmakedonien,Mazedonisch-Albanisch [69],,,,
Nordzypern [a],Türkisch,,,,
Norwegen,Norwegische Sami [70],Kven Scandoromani,BokmÃ ¥ l (geschrieben) Nynorsk (geschrieben) Sami [70],BokmÃ ¥ l (geschrieben) Nynorsk (geschrieben) Sami Romani,
Oman,Arabisch,,,,
Pakistan,Englisch Urdu,,Urdu,Punjabi Balochi Sindhi Pashto,
Palau,Englisch Palauan,,,,
Palästina,Arabisch (de facto),,,Englisch Hebräisch,
Panama,Spanisch,,,,
Papua Neu-Guinea,Englisch Hiri Motu PNG Gebärdensprache Tok Pisin,,,,
Paraguay,Spanisch GuaranÃ,,,,
Peru,Spanische Aymara Quechua,,,,
Philippinen,Englisch Filipino Filipino Gebärdensprache,(+ über 100 weitere Minderheitensprachen),Philippinisch,Spanisch Arabisch,
Polen,Polieren,Deutsch (Woiwodschaft Opole) Litauisch (Gemeinde PuÅ „sk commune) Weißrussisch (Woiwodschaft Podlaskie) Tschechisch Hebräisch Jiddisch Lemko Karaim Armenisch Roma Russisch Slowakisch Tatar Ukrainisch,,,
Portugal,Portugiesisch,,,,
Katar,Arabisch,,,,
Rumänien,rumänisch,,,,
Russland,Russisch,,,,
Ruanda,Englisch Französisch Kinyarwanda Swahili,,,,
Sahrawi Arab Democratic Republic [a],Tamazight Arabisch Spanisch,,,,
St. Kitts und Nevis,Englisch,,,,
St. Lucia,Englisch,,,,
St. Vincent und die Grenadinen,Englisch,,,,
Samoa,Englisch,,Samoaner,,
San Marino,Italienisch,,,,
SÃ £ o TomÃ © und PrÃncipe,Portugiesisch,,,,
Saudi-Arabien,Arabisch,,,,
Senegal,Französisch,,Jola-Fogny Mandinka Pulaar Serer Soninke Wolof,,
Serbien,serbisch,(15 Sprachen),,,
Seychellen,Englisch Französisch Seychellen Kreolisch,,,,
Sierra Leone,Englisch,,Krio,,
Singapur,Englisch Malaiisch Mandarin Tamil,,malaiisch,,
Slowakei,slowakisch,Bulgarisch Tschechisch Deutsch Ungarisch Polnisch Roma Rusyn Serbisch Ukrainisch,,,
Slowenien,Slowenisch,"Ungarisch (Dobrovnik, HodoÅ¡, Lendava) Italienisch (Izola, Koper, Piran) Kroatisch (Metlika, BreÅ¾ice)",,,
Salomon-Inseln,Englisch,,,,
Somalia,Arabisch,,somali,,
Somaliland [a],Arabisch Englisch Somali,,,,
Südafrika,Afrikaans Englisch Süd Ndebele Sotho Nord Sotho Swazi Tsonga Tswana Venda Xhosa Zulu,,,,
Südossetien [a],Ossetischer Russe,georgisch,,,
Südsudan,Englisch,,Arabisch Bari Dinka Luo Murle Nuer Zande (60 weitere Sprachen),,
Spanien,Spanisch,Astur-Leonese (Asturias) Aragonese (Aragon) Fala (Provinz Cáceres) Französisch Portugiesisch,,,
Sri Lanka,Singhalesisch Tamil,,,,
Sudan,Arabisch Englisch,,,,
Suriname,Niederländisch,,Sranan Tongo,,
Schweden,Schwedisch,"Finnisch (Géllivare, Haparanda, Kiruna, Pajala, Ã - vertorneÃ ¥ MeÃ¤nkieli (GÃ¤llivare, Haparanda, Kiruna, Pajala, Ã - vertorneÃ ¥) Sami (Arjeplog, GÃ¤llivare, Jokkmokk, Kiruna)",,Englisch Romani Jiddisch,
Schweiz,"Französisch (Bern, Freiburg, Genf, Jura, Neuenburg, Wallis, Waadt) Deutsch (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Freiburg, Glarus, Graubünden, Luzern, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Wallis, Zug, Zürich) Italienisch (Tessin, Graubünden) Rätoromanisch (Graubünden)",,,,
Syrien,Arabisch,,,,
Taiwan,Mandarin,,Formosanische Sprachen [72] Hakka [73] Mandarin [f] Taiwan Gebärdensprache Taiwanesisch Hokkien [f],,
Tadschikistan,Tadschikisch,,Tadschikisch,Russisch,
Tansania,Englisch,,Swahili,,
Thailand,Thai,,,,
Gehen,Französisch,,,,
Tokelau,Englisch Tokelauan,,,,
Tonga,Englisch Tonganisch,,,,
Transnistrien [a],Moldauischer russischer Ukrainer,,,,
Trinidad und Tobago,Englisch,,,,
Tunesien,Arabisch,,Arabisch,,
Truthahn,Türkisch,kurdisch,,,
Turkmenistan,Turkmenen,,Turkmenen,Russisch,
Tuvalu,Englisch (de facto),,Tuvaluan (de facto),,
Uganda,Englisches Suaheli [74],,,,
Ukraine,ukrainisch,,,,
Vereinigte Arabische Emirate,Arabisch,,,,
Abhängigkeiten von Großbritannien und der Krone usw.,Englisch (de facto),,,,
Vereinigte Staaten,"Keine (Englisch hat de facto Status, aber nicht de jure Status)",,,Spanisch,
Uruguay,Spanisch (de facto),,,,
Usbekistan,Usbekisch,Usbekisch Karakalpak und Usbekisch in Karakalpakstan,,Russisch,
Vanuatu,Englisch Französisch,,Bislama,,
Vatikanstadt,Italienisch,,,,
Venezuela,Spanische venezolanische Gebärdensprache,,,,
Vietnam,Vietnamesisch,,Vietnamesisch,,
Jemen,Arabisch,,,,
Sambia,Englisch,,,,
Zimbabwe,Chewa Chibarwe Englisch Kalanga Khoisan [g] [76] Nambya Ndau Ndebele Shangani Shona Gebärdensprache [h] Sotho Tonga Tswana Venda Xhosa,,,,
